From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (GO)
F2QPZ7	F2QPZ7	unreviewed	F2QPZ7_KOMPC	Uncharacterized protein	PP7435_Chr1-1357					
F2QZ37	F2QZ37	unreviewed	F2QZ37_KOMPC	Ribosomal protein lysine methyltransferase	RKM2 PP7435_Chr4-0500	GO:0005840; GO:0016279; GO:0018023	ribosome [GO:0005840]	peptidyl-lysine trimethylation [GO:0018023]	protein-lysine N-methyltransferase activity [GO:0016279]	ribosome [GO:0005840]; protein-lysine N-methyltransferase activity [GO:0016279]; peptidyl-lysine trimethylation [GO:0018023]
F2QLR4	F2QLR4	unreviewed	F2QLR4_KOMPC	SET domain-containing protein 3	SET3 PP7435_Chr1-0031	GO:0006479; GO:0046872		protein methylation [GO:0006479]	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]; protein methylation [GO:0006479]
F2QLT8	F2QLT8	unreviewed	F2QLT8_KOMPC	LCCL domain-containing protein	PP7435_Chr1-0057	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0K4J7	Q0K4J7	unreviewed	Q0K4J7_CUPNH	Cupin_2 domain-containing protein	H16_B0276					
F2QV82	F2QV82	unreviewed	F2QV82_KOMPC	Thiamine biosynthetic bifunctional enzyme	THI6 PP7435_Chr3-0341	GO:0004417; GO:0004789; GO:0005524; GO:0009228; GO:0009229; GO:0046872		thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; metal ion binding [GO:0046872]; thiamine-phosphate diphosphorylase activity [GO:0004789]	ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; metal ion binding [GO:0046872]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q0K5J7	Q0K5J7	unreviewed	Q0K5J7_CUPNH	Transcriptional regulator, MerR-family	cueR H16_A3667	GO:0003677; GO:0003700; GO:0005507; GO:0045893		positive regulation of transcription, DNA-templated [GO:0045893]	copper ion binding [GO:0005507]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	copper ion binding [GO:0005507]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; positive regulation of transcription, DNA-templated [GO:0045893]
F2QLG1	F2QLG1	unreviewed	F2QLG1_KOMPC	Telobox-containing general regulatory factor	TBF1 PP7435_Chr1-1063	GO:0005634; GO:0007049; GO:0042162; GO:0042803	nucleus [GO:0005634]	cell cycle [GO:0007049]	protein homodimerization activity [GO:0042803]; telomeric DNA binding [GO:0042162]	nucleus [GO:0005634]; protein homodimerization activity [GO:0042803]; telomeric DNA binding [GO:0042162]; cell cycle [GO:0007049]
F2QUI2	F2QUI2	unreviewed	F2QUI2_KOMPC	U4/U6-U5 snRNP complex splicing factor	PRP8 PP7435_Chr3-0086	GO:0000398; GO:0005681; GO:0017070; GO:0030623; GO:0070122; GO:0140492	spliceosomal complex [GO:0005681]	mRNA splicing, via spliceosome [GO:0000398]	isopeptidase activity [GO:0070122]; metal-dependent deubiquitinase activity [GO:0140492]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]	spliceosomal complex [GO:0005681]; isopeptidase activity [GO:0070122]; metal-dependent deubiquitinase activity [GO:0140492]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; mRNA splicing, via spliceosome [GO:0000398]
F2QNF9	F2QNF9	unreviewed	F2QNF9_KOMPC	1,3-beta-glucanosyltransferase, EC 2.4.1.-	GAS1-2 PP7435_Chr1-0230	GO:0005886; GO:0031225; GO:0042123; GO:0071840; GO:0071852	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]	cellular component organization or biogenesis [GO:0071840]; fungal-type cell wall organization or biogenesis [GO:0071852]	glucanosyltransferase activity [GO:0042123]	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; glucanosyltransferase activity [GO:0042123]; cellular component organization or biogenesis [GO:0071840]; fungal-type cell wall organization or biogenesis [GO:0071852]
Q0KAI0	Q0KAI0	unreviewed	Q0KAI0_CUPNH	Probable extra-cytoplasmic solute receptor	H16_A1890	GO:0042597	periplasmic space [GO:0042597]			periplasmic space [GO:0042597]
F2QRW7	F2QRW7	unreviewed	F2QRW7_KOMPC	Superkiller protein 3	SKI3 PP7435_Chr2-0457	GO:0006401; GO:0055087	Ski complex [GO:0055087]	RNA catabolic process [GO:0006401]		Ski complex [GO:0055087]; RNA catabolic process [GO:0006401]
Q0K8N9	Q0K8N9	reviewed	EFP_CUPNH	Elongation factor P, EF-P	efp H16_A2549	GO:0003746; GO:0005737	cytoplasm [GO:0005737]		translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]
F2QTB0	F2QTB0	unreviewed	F2QTB0_KOMPC	Putative glutamate decarboxylase	GAD2 PP7435_Chr2-0957	GO:0016830; GO:0019752; GO:0030170		carboxylic acid metabolic process [GO:0019752]	carbon-carbon lyase activity [GO:0016830]; pyridoxal phosphate binding [GO:0030170]	carbon-carbon lyase activity [GO:0016830]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]
F2R091	F2R091	unreviewed	F2R091_KOMPC	Elongator complex protein 3, EC 2.3.1.-	ELP3 PP7435_Chr4-0918	GO:0000049; GO:0008033; GO:0008080; GO:0046872; GO:0051539; GO:0106261		tRNA processing [GO:0008033]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; N-acetyltransferase activity [GO:0008080]; tRNA binding [GO:0000049]; tRNA uridine(34) acetyltransferase activity [GO:0106261]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; N-acetyltransferase activity [GO:0008080]; tRNA binding [GO:0000049]; tRNA uridine(34) acetyltransferase activity [GO:0106261]; tRNA processing [GO:0008033]
P28613	P28613	reviewed	HPF_CUPNH	Ribosome hibernation promoting factor, HPF (Hibernation factor HPF)	hpf H16_A0386	GO:0006417; GO:0044238		primary metabolic process [GO:0044238]; regulation of translation [GO:0006417]		primary metabolic process [GO:0044238]; regulation of translation [GO:0006417]
Q0KDI5	Q0KDI5	unreviewed	Q0KDI5_CUPNH	DNA gyrase subunit A, EC 5.6.2.2	gyrA H16_A0789	GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0034335	chromosome [GO:0005694]; cytoplasm [GO:0005737]	DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]
Q0KD06	Q0KD06	unreviewed	Q0KD06_CUPNH	Uncharacterized FAD-dependent dehydrogenase	H16_A0972	GO:0016491			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
Q0K404	Q0K404	unreviewed	Q0K404_CUPNH	Formamidase fused to an AraC-type HTH DNA-binding domain, EC 3.5.1.49	fmdR H16_B0473	GO:0003700; GO:0004328; GO:0043565			DNA-binding transcription factor activity [GO:0003700]; formamidase activity [GO:0004328]; sequence-specific DNA binding [GO:0043565]	DNA-binding transcription factor activity [GO:0003700]; formamidase activity [GO:0004328]; sequence-specific DNA binding [GO:0043565]
F2QY19	F2QY19	unreviewed	F2QY19_KOMPC	Kynurenine 3-monooxygenase, EC 1.14.13.9 (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	BNA4 PP7435_Chr4-0122	GO:0004502; GO:0005741; GO:0006569; GO:0016021; GO:0019805; GO:0034354; GO:0043420; GO:0071949	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	FAD binding [GO:0071949]; kynurenine 3-monooxygenase activity [GO:0004502]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; FAD binding [GO:0071949]; kynurenine 3-monooxygenase activity [GO:0004502]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]
Q0K602	Q0K602	reviewed	RL11_CUPNH	50S ribosomal protein L11	rplK H16_A3501	GO:0003735; GO:0005840; GO:0006412; GO:0070180	ribosome [GO:0005840]	translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q0KDT2	Q0KDT2	unreviewed	Q0KDT2_CUPNH	Response regulator of C4-dicarboxylate transportsystem	gltR2 H16_A0691	GO:0000160; GO:0005524; GO:0006355; GO:0043565		phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]	ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
F2QSB6	F2QSB6	unreviewed	F2QSB6_KOMPC	Paf1p complex component	CDC73 PP7435_Chr2-0607	GO:0006368; GO:0016570; GO:0016593	Cdc73/Paf1 complex [GO:0016593]	histone modification [GO:0016570]; transcription elongation from RNA polymerase II promoter [GO:0006368]		Cdc73/Paf1 complex [GO:0016593]; histone modification [GO:0016570]; transcription elongation from RNA polymerase II promoter [GO:0006368]
Q0KEW9	Q0KEW9	unreviewed	Q0KEW9_CUPNH	Predicted hydrolase of the alpha/beta superfamily, EC 3.-.-.-	H16_A0301	GO:0016787			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]
F2R0B4	F2R0B4	unreviewed	F2R0B4_KOMPC	Serine/threonine-protein kinase	PSK2 PP7435_Chr4-0942	GO:0004672; GO:0005524; GO:0006468		protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein phosphorylation [GO:0006468]
F2QWA7	F2QWA7	unreviewed	F2QWA7_KOMPC	Uncharacterized protein	PP7435_Chr3-0730					
F2QLE5	F2QLE5	unreviewed	F2QLE5_KOMPC	Altered inheritance of mitochondria protein 41	AIM41 PP7435_Chr1-1047	GO:0005739; GO:0016884	mitochondrion [GO:0005739]		carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	mitochondrion [GO:0005739]; carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]
Q0KDT3	Q0KDT3	unreviewed	Q0KDT3_CUPNH	HTH_17 domain-containing protein	H16_A0690	GO:0003677			DNA binding [GO:0003677]	DNA binding [GO:0003677]
F2QMU9	F2QMU9	unreviewed	F2QMU9_KOMPC	Thiamine_BP domain-containing protein	PP7435_Chr1-0763					
Q0K4M3	Q0K4M3	unreviewed	Q0K4M3_CUPNH	Lipoprotein	H16_B0250					
F2QQB2	F2QQB2	unreviewed	F2QQB2_KOMPC	54S ribosomal protein L28, mitochondrial	MRPL28 PP7435_Chr1-1477	GO:0003735; GO:0005739; GO:0005840; GO:0032543	mitochondrion [GO:0005739]; ribosome [GO:0005840]	mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	mitochondrion [GO:0005739]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]
Q0K0P7	Q0K0P7	unreviewed	Q0K0P7_CUPNH	dTDP-glucose 4-6-dehydratase, EC 4.2.1.46	H16_B1642	GO:0008460; GO:0016831			carboxy-lyase activity [GO:0016831]; dTDP-glucose 4,6-dehydratase activity [GO:0008460]	carboxy-lyase activity [GO:0016831]; dTDP-glucose 4,6-dehydratase activity [GO:0008460]
Q0K6X5	Q0K6X5	unreviewed	Q0K6X5_CUPNH	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	accB H16_A3171	GO:0003989; GO:0006633; GO:0009317	acetyl-CoA carboxylase complex [GO:0009317]	fatty acid biosynthetic process [GO:0006633]	acetyl-CoA carboxylase activity [GO:0003989]	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; fatty acid biosynthetic process [GO:0006633]
F2QLU7	F2QLU7	unreviewed	F2QLU7_KOMPC	Inorganic diphosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase)	PPA2 PP7435_Chr1-0066	GO:0000287; GO:0004427; GO:0005737; GO:0006796	cytoplasm [GO:0005737]	phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]
Q0K5F4	Q0K5F4	unreviewed	Q0K5F4_CUPNH	Phosphoenolpyruvate carboxykinase [GTP], PEP carboxykinase, PEPCK, EC 4.1.1.32 (GTP-dependent phosphoenolpyruvate carboxykinase, GTP-PEPCK)	pepck pckG H16_A3711	GO:0004613; GO:0005525; GO:0005737; GO:0006094; GO:0016301; GO:0016310; GO:0030145	cytoplasm [GO:0005737]	gluconeogenesis [GO:0006094]; phosphorylation [GO:0016310]	GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; gluconeogenesis [GO:0006094]; phosphorylation [GO:0016310]
Q0K7F2	Q0K7F2	unreviewed	Q0K7F2_CUPNH	Cobalamin biosynthesis CbiX protein	cbiX H16_A2993	GO:0016829; GO:0046872			lyase activity [GO:0016829]; metal ion binding [GO:0046872]	lyase activity [GO:0016829]; metal ion binding [GO:0046872]
F2QWD7	F2QWD7	unreviewed	F2QWD7_KOMPC	20S proteasome subunit alpha type-4	PRE6 PP7435_Chr3-0761	GO:0010499; GO:0019773; GO:0034515; GO:0042175; GO:0043161	nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; proteasome core complex, alpha-subunit complex [GO:0019773]; proteasome storage granule [GO:0034515]	proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]		nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; proteasome core complex, alpha-subunit complex [GO:0019773]; proteasome storage granule [GO:0034515]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q0KCJ2	Q0KCJ2	unreviewed	Q0KCJ2_CUPNH	Thioredoxin	H16_A1138					
A0A1G4KQC0	A0A1G4KQC0	unreviewed	A0A1G4KQC0_KOMPC	Actin cytoskeleton-regulatory complex protein PAN1 (Actin cytoskeleton-regulatory complex protein pan1)	PAN1 PP7435_Chr3-1875	GO:0003779; GO:0005509; GO:0005886; GO:0006897; GO:0010008; GO:0016043; GO:0030479	actin cortical patch [GO:0030479]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]	cellular component organization [GO:0016043]; endocytosis [GO:0006897]	actin binding [GO:0003779]; calcium ion binding [GO:0005509]	actin cortical patch [GO:0030479]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; calcium ion binding [GO:0005509]; cellular component organization [GO:0016043]; endocytosis [GO:0006897]
F2QZG7	F2QZG7	unreviewed	F2QZG7_KOMPC	Adenylate cyclase	CYR1 PP7435_Chr4-0637	GO:0004722; GO:0009190; GO:0035556		cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	protein serine/threonine phosphatase activity [GO:0004722]	protein serine/threonine phosphatase activity [GO:0004722]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]
F2QTT0	F2QTT0	unreviewed	F2QTT0_KOMPC	Transcription factor	PHO4-2 PP7435_Chr2-1131	GO:0046983			protein dimerization activity [GO:0046983]	protein dimerization activity [GO:0046983]
F2QM47	F2QM47	unreviewed	F2QM47_KOMPC	Putative transcription factor	PP7435_Chr1-0169					
Q0K5W8	Q0K5W8	unreviewed	Q0K5W8_CUPNH	Type II secretion system protein E, T2SS protein E (Type II traffic warden ATPase)	gspE H16_A3544	GO:0005524; GO:0005886; GO:0015627; GO:0015628	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	protein secretion by the type II secretion system [GO:0015628]	ATP binding [GO:0005524]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; ATP binding [GO:0005524]; protein secretion by the type II secretion system [GO:0015628]
Q0KB98	Q0KB98	unreviewed	Q0KB98_CUPNH	Membrane-bound alcohol dehydrogenase,cytochromec subunit, EC 1.1.99.-	H16_A1591	GO:0005506; GO:0005886; GO:0009055; GO:0016614; GO:0020037	plasma membrane [GO:0005886]		electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
F2QXQ3	F2QXQ3	unreviewed	F2QXQ3_KOMPC	Mitochondrial dicarboxylate carrier	DIC1-1 DIC1-2 PP7435_Chr4-0001 PP7435_Chr4-0074	GO:0005743; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; transmembrane transport [GO:0055085]
F2QY61	F2QY61	unreviewed	F2QY61_KOMPC	CTP synthase, EC 6.3.4.2 (UTP--ammonia ligase)	URA7 PP7435_Chr4-0164	GO:0003883; GO:0005524; GO:0006541; GO:0044210		'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]
Q0K3C4	Q0K3C4	unreviewed	Q0K3C4_CUPNH	Acyl-CoA dehydrogenase, EC 1.3.99.3	H16_B0703	GO:0003995; GO:0043958; GO:0050660			acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]
Q0JZ24	Q0JZ24	unreviewed	Q0JZ24_CUPNH	ABC-type transporter, ATPase component: NitT family, EC 3.6.3.-	H16_B2218	GO:0005524; GO:0005886; GO:0016787	plasma membrane [GO:0005886]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]
Q0K694	Q0K694	reviewed	HIS3_CUPNH	Phosphoribosyl-AMP cyclohydrolase, PRA-CH, EC 3.5.4.19	hisI H16_A3409	GO:0000105; GO:0000287; GO:0004635; GO:0005737; GO:0008270	cytoplasm [GO:0005737]	histidine biosynthetic process [GO:0000105]	magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105]
Q0JZJ3	Q0JZJ3	unreviewed	Q0JZJ3_CUPNH	Protein-glutamate methylesterase/protein-glutamine glutaminase, EC 3.1.1.61, EC 3.5.1.44	cheB cheB2 H16_B2049	GO:0000156; GO:0005737; GO:0006482; GO:0006935; GO:0008984; GO:0018277; GO:0050568	cytoplasm [GO:0005737]	chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]	phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]	cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]
F2QRC0	F2QRC0	unreviewed	F2QRC0_KOMPC	54S ribosomal protein L9, mitochondrial	MRPL9 PP7435_Chr2-0252	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
P27745	P27745	reviewed	ACOA_CUPNH	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha, Acetoin:DCPIP oxidoreductase-alpha, Ao:DCPIP OR, EC 1.1.1.-	acoA H16_B0144	GO:0016624; GO:0045150		acetoin catabolic process [GO:0045150]	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]; acetoin catabolic process [GO:0045150]
F2QTW8	F2QTW8	unreviewed	F2QTW8_KOMPC	Protein PNS1	PP7435_Chr2-1170	GO:0005886; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
Q0K5K1	Q0K5K1	unreviewed	Q0K5K1_CUPNH	Choline dehydrogenase, EC 1.1.99.1	betA4 H16_A3663	GO:0008812; GO:0050660			choline dehydrogenase activity [GO:0008812]; flavin adenine dinucleotide binding [GO:0050660]	choline dehydrogenase activity [GO:0008812]; flavin adenine dinucleotide binding [GO:0050660]
Q0KA08	Q0KA08	unreviewed	Q0KA08_CUPNH	Uncharacterized protein	H16_A2063	GO:0016491			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
Q0K3N8	Q0K3N8	unreviewed	Q0K3N8_CUPNH	Thiamine pyrophosphate-requiring enzyme	H16_B0589	GO:0003824; GO:0030976; GO:0044281		small molecule metabolic process [GO:0044281]	catalytic activity [GO:0003824]; thiamine pyrophosphate binding [GO:0030976]	catalytic activity [GO:0003824]; thiamine pyrophosphate binding [GO:0030976]; small molecule metabolic process [GO:0044281]
Q0K993	Q0K993	unreviewed	Q0K993_CUPNH	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I))	ntrC H16_A2332	GO:0000156; GO:0005524; GO:0005737; GO:0006355; GO:0006808; GO:0009399; GO:0043565	cytoplasm [GO:0005737]	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]
Q0K012	Q0K012	unreviewed	Q0K012_CUPNH	Coenzyme PQQ synthesis protein C	pqqC2 H16_B1880					
Q0KEC6	Q0KEC6	unreviewed	Q0KEC6_CUPNH	Ysc84 domain-containing protein	H16_A0495					
F2QMH2	F2QMH2	unreviewed	F2QMH2_KOMPC	Uncharacterized protein	PP7435_Chr1-0467	GO:0006807; GO:0036361		nitrogen compound metabolic process [GO:0006807]	racemase activity, acting on amino acids and derivatives [GO:0036361]	racemase activity, acting on amino acids and derivatives [GO:0036361]; nitrogen compound metabolic process [GO:0006807]
Q0K270	Q0K270	unreviewed	Q0K270_CUPNH	Cation/multidrug efflux system, mebrane-fusion component	acrA9 H16_B1113	GO:0016020; GO:0022857	membrane [GO:0016020]		transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
Q0KDD1	Q0KDD1	unreviewed	Q0KDD1_CUPNH	Acyl-CoA dehydrogenase, EC 1.3.99.3	H16_A0843	GO:0003995; GO:0043958; GO:0050660			acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]
Q0K891	Q0K891	unreviewed	Q0K891_CUPNH	Uncharacterized conserved protein	H16_A2701	GO:0008168; GO:0032259		methylation [GO:0032259]	methyltransferase activity [GO:0008168]	methyltransferase activity [GO:0008168]; methylation [GO:0032259]
Q0KE95	Q0KE95	reviewed	YBEY_CUPNH	Endoribonuclease YbeY, EC 3.1.-.-	ybeY H16_A0526	GO:0004222; GO:0004521; GO:0005737; GO:0006364; GO:0008270	cytoplasm [GO:0005737]	rRNA processing [GO:0006364]	endoribonuclease activity [GO:0004521]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; endoribonuclease activity [GO:0004521]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; rRNA processing [GO:0006364]
Q0JYW2	Q0JYW2	unreviewed	Q0JYW2_CUPNH	Siroheme decarboxylase, EC 4.1.1.111	nirD H16_B2280	GO:0016829			lyase activity [GO:0016829]	lyase activity [GO:0016829]
Q0JZS5	Q0JZS5	unreviewed	Q0JZS5_CUPNH	GTP cyclohydrolase I, EC 3.5.4.16	folE H16_B1967	GO:0003934; GO:0006730; GO:0035998; GO:0046654		7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]	GTP cyclohydrolase I activity [GO:0003934]	GTP cyclohydrolase I activity [GO:0003934]; 7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]
Q0KDV2	Q0KDV2	unreviewed	Q0KDV2_CUPNH	Uncharacterized protein	H16_A0671					
F2QSV4	F2QSV4	unreviewed	F2QSV4_KOMPC	AP-2 complex subunit alpha	APL3 PP7435_Chr2-2265	GO:0006886; GO:0030122; GO:0035615; GO:0072583	AP-2 adaptor complex [GO:0030122]	clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]	clathrin adaptor activity [GO:0035615]	AP-2 adaptor complex [GO:0030122]; clathrin adaptor activity [GO:0035615]; clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]
